###############################################################
#### Detta datamaterial innehåller information gällande    ####
#### bekräftade fall av covid-19 i vissa svenska regioner. ####
#### Den studerade tidsperioden är 2020-02-04 - 2020-10-27 ####
###############################################################



"","Statistikdatum","Totalt_antal_fall","Dalarna","Uppsala"
"65",2020-04-08,654,28,29
"66",2020-04-09,645,30,29
"67",2020-04-10,454,17,4
"68",2020-04-11,395,9,15
"69",2020-04-12,464,31,13
"70",2020-04-13,437,12,13
"71",2020-04-14,479,12,39
"72",2020-04-15,604,28,32
"73",2020-04-16,623,25,37
"74",2020-04-17,688,26,44
"75",2020-04-18,532,27,18
"76",2020-04-19,388,8,17
"77",2020-04-20,461,10,32
"78",2020-04-21,707,35,32
"79",2020-04-22,722,33,32
"80",2020-04-23,758,41,41
"81",2020-04-24,780,29,55
"82",2020-04-25,473,45,12
"83",2020-04-26,300,5,8
"84",2020-04-27,563,8,35
"85",2020-04-28,742,35,52
"86",2020-04-29,799,52,22
"87",2020-04-30,635,14,43
"88",2020-05-01,532,NA,13
"89",2020-05-02,299,1,12
"90",2020-05-03,-99,3,11
"91",2020-05-04,477,64,21
"92",2020-05-05,657,28,52
"93",2020-05-06,745,22,37
"94",2020-05-07,784,19,42
"95",2020-05-08,700,999999,43
"96",2020-05-09,509,11,41
"97",2020-05-10,279,4,12
"98",2020-05-11,455,3,19
"99",2020-05-12,754,18,30
"100",2020-05-13,698,21,27
"101",2020-05-14,657,15,37
"102",2020-05-15,688,10,37
"103",2020-05-16,358,1,24
"104",2020-05-17,259,17,6
"105",2020-05-18,430,9,31
"106",2020-05-19,666,2,35
"107",2020-05-20,808,31,53
"108",2020-05-21,610,17,17
"109",2020-05-22,532,5,27
"110",2020-05-23,403,13,19
"111",2020-05-24,210,7,13
"112",2020-05-25,-99,3,30
"113",2020-05-26,746,999999,48
"114",2020-05-27,800,16,35
"115",2020-05-28,774,16,39
"116",2020-05-29,773,10,41
"117",2020-05-30,432,15,38
"118",2020-05-31,265,5,14
"119",2020-06-01,648,7,31
"120",2020-06-02,900,23,62
"121",2020-06-03,1046,14,50
"122",2020-06-04,1039,NA,58
"123",2020-06-05,1146,20,37
"124",2020-06-06,780,16,56
"125",2020-06-07,462,6,14
"126",2020-06-08,677,9,15
"127",2020-06-09,936,17,59
"128",2020-06-10,1437,17,44
"129",2020-06-11,1293,9,40
"130",2020-06-12,1329,13,46
"131",2020-06-13,1032,6,38
"132",2020-06-14,418,4,5
"133",2020-06-15,685,3,13
"134",2020-06-16,1209,7,56
"135",2020-06-17,-99,6,62
"136",2020-06-18,1494,16,84
"137",2020-06-19,1209,20,33
"138",2020-06-20,698,5,60
"139",2020-06-21,321,3,9
"140",2020-06-22,800,11,21
"141",2020-06-23,-99,29,99
"142",2020-06-24,1698,30,92
"143",2020-06-25,1279,29,71
"144",2020-06-26,1204,34,52
"145",2020-06-27,755,31,50
"146",2020-06-28,415,3,15
"147",2020-06-29,727,3,6
"148",2020-06-30,804,33,68
"149",2020-07-01,684,32,44
"150",2020-07-02,687,46,22
"151",2020-07-03,694,25,26
"152",2020-07-04,364,14,18
"153",2020-07-05,315,25,0
"154",2020-07-06,251,NA,2
"155",2020-07-07,278,9,11
"156",2020-07-08,533,22,16
"157",2020-07-09,334,13,7
"158",2020-07-10,369,6,15
"159",2020-07-11,-99,5,9
"160",2020-07-12,106,0,1
"161",2020-07-13,170,12,2
"162",2020-07-14,312,11,19
"163",2020-07-15,287,1,13
"164",2020-07-16,268,9,16
"165",2020-07-17,284,5,8
"166",2020-07-18,191,9,2
"167",2020-07-19,110,5,0
"168",2020-07-20,131,1,0
"169",2020-07-21,226,11,5
"170",2020-07-22,297,4,7
"171",2020-07-23,220,4,4
"172",2020-07-24,-99,NA,2
"173",2020-07-25,138,2,2
"174",2020-07-26,42,0,2
"175",2020-07-27,71,NA,1
"176",2020-07-28,283,3,6
"177",2020-07-29,301,3,10
"178",2020-07-30,302,NA,8
"179",2020-07-31,258,11,13
"180",2020-08-01,303,4,0
"181",2020-08-02,38,1,2
"182",2020-08-03,165,0,5
"183",2020-08-04,333,8,14
"184",2020-08-05,425,15,8
"185",2020-08-06,378,9,5
"186",2020-08-07,380,NA,19
"187",2020-08-08,-99,6,1
"188",2020-08-09,73,6,0
"189",2020-08-10,196,4,4
"190",2020-08-11,417,5,6
"191",2020-08-12,443,6,13
"192",2020-08-13,363,10,12
"193",2020-08-14,344,8,7
"194",2020-08-15,-99,2,9
"195",2020-08-16,63,999999,0
"196",2020-08-17,174,5,4
"197",2020-08-18,314,8,10
"198",2020-08-19,351,7,15
"199",2020-08-20,333,5,5
"200",2020-08-21,298,9,7
"201",2020-08-22,160,4,22
"202",2020-08-23,57,4,1
"203",2020-08-24,174,5,0
"204",2020-08-25,222,10,10
"205",2020-08-26,244,8,6
"206",2020-08-27,202,11,6
"207",2020-08-28,179,7,7
"208",2020-08-29,131,11,6
"209",2020-08-30,48,4,0
"210",2020-08-31,162,6,2
"211",2020-09-01,171,13,7
"212",2020-09-02,213,13,5
"213",2020-09-03,-99,10,11
"214",2020-09-04,262,6,4
"215",2020-09-05,171,5,5
"216",2020-09-06,67,3,0
"217",2020-09-07,185,4,5
"218",2020-09-08,236,11,14
"219",2020-09-09,314,16,12
"220",2020-09-10,255,15,5
"221",2020-09-11,291,9,22
"222",2020-09-12,206,16,15
"223",2020-09-13,106,8,2
"224",2020-09-14,220,18,3
"225",2020-09-15,292,27,9
"226",2020-09-16,330,24,12
"227",2020-09-17,389,18,19
"228",2020-09-18,437,33,9
"229",2020-09-19,279,18,14
"230",2020-09-20,133,26,3
"231",2020-09-21,266,6,0
"232",2020-09-22,438,20,22
"233",2020-09-23,553,15,14
"234",2020-09-24,540,13,23
"235",2020-09-25,629,17,19
"236",2020-09-26,325,11,10
"237",2020-09-27,167,6,17
"238",2020-09-28,378,4,6
"239",2020-09-29,613,4,34
"240",2020-09-30,688,23,23
"241",2020-10-01,633,21,36
"242",2020-10-02,712,24,62
"243",2020-10-03,461,14,54
"244",2020-10-04,155,11,11
"245",2020-10-05,374,1,39
"246",2020-10-06,786,7,104
"247",2020-10-07,831,32,67
"248",2020-10-08,834,16,51
"249",2020-10-09,783,13,8
"250",2020-10-10,509,15,8
"251",2020-10-11,161,0,8
"252",2020-10-12,637,30,173
"253",2020-10-13,916,NA,61
"254",2020-10-14,968,37,30
"255",2020-10-15,903,24,64
"256",2020-10-16,1180,27,90
"257",2020-10-17,697,32,30
"258",2020-10-18,321,1,56
"259",2020-10-19,770,3,47
"260",2020-10-20,1292,52,65
"261",2020-10-21,1573,22,49
"262",2020-10-22,1667,47,42
"263",2020-10-23,1870,49,66
"264",2020-10-24,1478,37,45
"265",2020-10-25,516,3,33
"266",2020-10-26,1072,10,82
"267",2020-10-27,1980,63,53
