NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
11;Man;52;Fler än 150000 invånare;10;Ja;11;14;Ja;17;Homosexuell;Ja;17;Nej;Nej;Ja, det gör jag under långa perioder;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Ja;Nej;Ja;Ja;Inget svar;Ja, jag har tidigare sammanbott med en man (män);Ja;Ja;72;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;X;;;X;;;;;;;;;;X;;;X;X;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Ja;;;X;;Ja, någon/några har varit ovänliga eller fientliga;Jag har diskriminerats;;;;;X;80;Har angett diskriminering men inte använt fritextfältet;Ja;Nej;Ja, en psykiater;Nej;;X;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
12;Kvinna;56;Fler än 150000 invånare;22;Ja;22;22;Ja;22;Homosexuell;Ja;22;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Nej;Nej;Nej;Ja;Ja;;Nej;Ja, jag sammanbor nu med en kvinna;Nej;Nej;Ja;80;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;;;X;X;X;;;Negativ reaktion angiven;;;;;;;;X;;X;;;;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
13;Man;53;Fler än 150000 invånare;16;Ja;17;17;Ja;19;Homosexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;19;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;X;X;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
14;Man;53;Fler än 150000 invånare;16;Ja;16;21;Ja;22;Homosexuell;Ja;22;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;;;X;;;; ; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;Studerande;;;;De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
15;Man;30;40000-150000 invånare;15;Ja;25;17;Ja;30;Homosexuell;Ja;25;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det har jag alltid gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;32;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Ja, för en bekant;X;;;;;;;;;;;;;;;;;;X;;;;;;;X;;Förvärvsarbe;Industriell tillverkning;Arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
16;Man;42;40000-150000 invånare;16;Ja;18;16;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;16;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det har jag alltid gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Ja;Ja;Ja;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;;;;;X;;X;;;X;;;;;;X;;X;X;X;;X;X;;;Förvärvsarbe;"Hantverk, ""gestaltande"" yrken (frisör), tv/cykelreparationer";Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;X;X;X;Ja, någon/några har varit ovänliga eller fientliga och ja, någon/några har undvikit kontakt med mig;Jag har diskriminerats;X;;;;X;79;Har angett diskriminering men inte använt fritextfältet;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
17;Man;44;Fler än 150000 invånare;7;Ja;23;12;Ja;20;Homosexuell;Ja;12;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Ja;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;;;;;;;;X;X;X;X;X;;X;;;;X;;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Ja;X;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
18;Man;39;40000-150000 invånare;15;Ja;16;18;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;18;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;;;;;;;;;X;;;;;;;;;;;;;Egen företagare;Framgår inte, inget svar;Arbetsledande funktion;framgår inte, inget svar;Alla vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater och en psykolog;Ja;;;;;;X;Nej;Ja, jag har varit ängslig och orolig;Nej
19;Man;34;Fler än 150000 invånare;25;Ja;30;25;Ja;25;Homosexuell;Ja;28;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;30;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;X;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Journalistik, litterär verksamhet;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
20;Man;41;40000-150000 invånare;16;Ja;26;20;Ja;26;Homosexuell;Ja;26;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;26;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;;;;X;;;;;;X;X;;;;;X;X;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
21;Man;66;Färre än 10000 invånare;8;Jag har aldrig haft sexuellt umgänge med någon av samma kön;Jag har aldrig haft sexuellt umgänge med någon av samma kön;11;Ja;13;Homosexuell;Ja;14;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;X;;X;;;;;;;;;;;;X;X;X;X;X;X;X;X;;;Studerande;;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;;;;X;X;;Nej;Ja, jag har känt mig nedstämd (deprimerad);Ja
22;Man;54;40000-150000 invånare;17;Jag har aldrig haft sexuellt umgänge med någon av samma kön;Jag har aldrig haft sexuellt umgänge med någon av samma kön;19;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;19;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag under långa perioder;Jag har inga homo/bisexuella vänner;Jag har så vitt jag vet inte lärt känna en homo- eller bisexuell person; ;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
23;Man;43;40000-150000 invånare;20;Ja;24;17;Ja;24;Homosexuell;Ja;24;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Ja;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
24;Man;52;Fler än 150000 invånare;10;Ja;8;16;Ja;21;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Ja;Nej;Ja;;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;;;;;X;;X;;;;;;;;;;;X;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
25;Man;33;Färre än 10000 invånare;14;Ja;23;15;Ja;19;Bisexuell;Ja;25;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det har jag alltid gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Ja;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;;X;X;;X;;;;;;;;;;;X;;X;;X;;;Förvärvsarbe;Poliser, väktare, militärer;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
